filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090107_080901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_080901_s4h1A.fts,tiny_noise,very_subtle,20090107_080901_s4h1A.fts,genuine,340.0,5.0,0.00062338,10.0,344.9258,-6.1748,-156.2737,,,
20090107_092901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_092901_s4h1A.fts,tiny_noise,very_subtle,20090107_092901_s4h1A.fts,genuine,340.0,5.0,0.0015466,11.0,344.9798,-6.1535,-156.2667,,,
20090107_104901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_104901_s4h1A.fts,tiny_noise,very_subtle,20090107_104901_s4h1A.fts,genuine,340.0,5.0,0.0015204,11.0,345.0325,-6.1304,-156.2584,,,
20090107_132901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_132901_s4h1A.fts,tiny_noise,very_subtle,20090107_132901_s4h1A.fts,genuine,340.0,-5.0,0.0028692,18.0,345.1402,-6.0875,-156.2506,,,
20090107_140901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_140901_s4h1A.fts,tiny_noise,very_subtle,20090107_140901_s4h1A.fts,genuine,340.0,-5.0,0.002975,18.0,345.1661,-6.0767,-156.248,,,
20090107_144901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_144901_s4h1A.fts,tiny_noise,very_subtle,20090107_144901_s4h1A.fts,genuine,340.0,5.0,0.0014821,10.0,345.1941,-6.0669,-156.2503,,,
20090107_152901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_152901_s4h1A.fts,tiny_noise,very_subtle,20090107_152901_s4h1A.fts,genuine,340.0,-5.0,0.00072901,14.0,345.2205,-6.0553,-156.2427,,,
20090107_164901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_164901_s4h1A.fts,tiny_noise,very_subtle,20090107_164901_s4h1A.fts,genuine,340.0,-5.0,0.0028789,17.0,345.2742,-6.0331,-156.2351,,,
20090107_172901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_172901_s4h1A.fts,tiny_noise,very_subtle,20090107_172901_s4h1A.fts,genuine,340.0,5.0,0.0015964,11.0,345.3008,-6.0224,-156.2294,,,
20090107_180901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090107_180901_s4h1A.fts,tiny_noise,very_subtle,20090107_180901_s4h1A.fts,genuine,340.0,-5.0,0.0029984,17.0,345.3273,-6.0109,-156.2284,,,
